Time (ps)	Pressure
0.000000	-38.926655
10.000000	-73.273605
20.000000	-258.916382
30.000000	-151.489166
40.000000	-76.140793
50.000000	-302.832886
60.000000	-158.178177
70.000000	-183.185654
80.000000	79.108971
90.000000	35.051907
100.000000	308.626129
110.000000	-114.183372
120.000000	-365.335693
130.000000	-228.818802
140.000000	-8.348699
150.000000	44.275711
160.000000	229.177109
170.000000	344.031616
180.000000	-142.244568
190.000000	27.801767
200.000000	168.432968
210.000000	105.903137
220.000000	172.023911
230.000000	-91.185677
240.000000	85.179077
250.000000	89.549927
260.000000	-319.693695
270.000000	-122.072174
280.000000	112.471519
290.000000	198.607010
300.000000	150.332230
310.000000	37.223938
320.000000	67.260201
330.000000	97.872261
340.000000	143.597000
350.000000	146.877808
360.000000	21.672926
370.000000	31.304777
380.000000	357.296722
390.000000	-228.669189
400.000000	-163.230972
410.000000	65.158447
420.000000	-178.906372
430.000000	35.922535
440.000000	79.388176
450.000000	-377.320343
460.000000	-29.573236
470.000000	205.286209
480.000000	-12.754598
490.000000	-105.103119
500.000000	-7.963979
510.000000	21.933016
520.000000	-127.894135
530.000000	-272.439117
540.000000	97.364738
550.000000	33.523354
560.000000	126.668053
570.000000	-25.009026
580.000000	325.258392
590.000000	-281.914978
600.000000	280.534149
610.000000	-382.769409
620.000000	145.100479
630.000000	210.616821
640.000000	41.243610
650.000000	191.398315
660.000000	205.360413
670.000000	-332.709991
680.000000	-29.029043
690.000000	227.922729
700.000000	241.595200
710.000000	296.452667
720.000000	265.997803
730.000000	267.423706
740.000000	60.779858
750.000000	-319.210297
760.000000	45.953770
770.000000	223.579849
780.000000	247.315475
790.000000	-173.160690
800.000000	211.321655
810.000000	78.019745
820.000000	166.814789
830.000000	436.028717
840.000000	-47.101307
850.000000	174.293701
860.000000	-52.502945
870.000000	-42.296612
880.000000	-193.743530
890.000000	184.833313
900.000000	-143.710327
910.000000	-60.320667
920.000000	-249.115524
930.000000	209.275146
940.000000	48.952862
950.000000	353.952118
960.000000	-324.759827
970.000000	-168.393997
980.000000	-70.385345
990.000000	128.844315
1000.000000	-394.578033
1010.000000	30.769068
1020.000000	54.763214
1030.000000	-387.692047
1040.000000	157.069504
1050.000000	-20.195261
1060.000000	-459.749969
1070.000000	96.582726
1080.000000	-17.911642
1090.000000	265.895691
1100.000000	79.570648
1110.000000	-303.462555
1120.000000	-97.817680
1130.000000	329.018707
1140.000000	220.667801
1150.000000	211.590775
1160.000000	3.098175
1170.000000	454.278778
1180.000000	-20.614450
1190.000000	-42.694439
1200.000000	-10.242706
1210.000000	-48.971622
1220.000000	82.622009
1230.000000	352.187256
1240.000000	-92.257500
1250.000000	-5.182098
1260.000000	-380.225250
1270.000000	319.244110
1280.000000	-98.055901
1290.000000	128.222427
1300.000000	196.716431
1310.000000	-54.408890
1320.000000	-231.264725
1330.000000	22.924637
1340.000000	314.251007
1350.000000	-49.006878
1360.000000	-50.146458
1370.000000	-62.646347
1380.000000	50.956589
1390.000000	68.012199
1400.000000	371.976410
1410.000000	283.470459
1420.000000	26.967848
1430.000000	-148.730148
1440.000000	12.069203
1450.000000	120.752800
1460.000000	-245.493607
1470.000000	171.568726
1480.000000	-210.541702
1490.000000	-7.819316
1500.000000	114.961700
1510.000000	174.747314
1520.000000	-321.862091
1530.000000	188.054260
1540.000000	74.246513
1550.000000	-560.904053
1560.000000	-89.612343
1570.000000	104.062622
1580.000000	-13.761006
1590.000000	55.285339
1600.000000	64.832123
1610.000000	-32.391293
1620.000000	135.561264
1630.000000	280.365814
1640.000000	73.311928
1650.000000	38.280319
1660.000000	-369.705078
1670.000000	-152.080338
1680.000000	259.606293
1690.000000	-183.197449
1700.000000	52.607914
1710.000000	61.736134
1720.000000	-154.722717
1730.000000	-461.703979
1740.000000	-404.540283
1750.000000	61.071701
1760.000000	-311.823975
1770.000000	-165.445999
1780.000000	-9.455232
1790.000000	39.517853
1800.000000	113.438560
1810.000000	221.188278
1820.000000	-231.877396
1830.000000	-106.534035
1840.000000	-34.807816
1850.000000	3.765774
1860.000000	-166.480515
1870.000000	-70.440086
1880.000000	-338.837555
1890.000000	-355.536713
1900.000000	229.801270
