# Time (ps)	Total H-bonds	H-bonds per water
0.000000000000000000e+00 2.738613066112978167e+00 4.979296483841778734e-04
5.000000000000000000e+01 2.670204098792113623e+00 4.854916543258388497e-04
1.000000000000000000e+02 2.716613266623290279e+00 4.939296848405982324e-04
1.500000000000000000e+02 2.502004475962525287e+00 4.549099047204591172e-04
2.000000000000000000e+02 2.738613066112978167e+00 4.979296483841778734e-04
2.500000000000000000e+02 2.670204098792113623e+00 4.854916543258388497e-04
3.000000000000000000e+02 2.716613266623290279e+00 4.939296848405982324e-04
3.500000000000000000e+02 2.502004475962525287e+00 4.549099047204591172e-04
4.000000000000000000e+02 2.647639843038192886e+00 4.813890623705805241e-04
4.500000000000000000e+02 2.823118134989356154e+00 5.132942063617011328e-04
5.000000000000000000e+02 2.657068542024022317e+00 4.831033712770949778e-04
5.500000000000000000e+02 2.647639843038192886e+00 4.813890623705805241e-04
6.000000000000000000e+02 2.736786718937594287e+00 4.975975852613808217e-04
6.500000000000000000e+02 2.823118134989356154e+00 5.132942063617011328e-04
7.000000000000000000e+02 2.657068542024022317e+00 4.831033712770949778e-04
7.500000000000000000e+02 2.942787693451001108e+00 5.350523079001819667e-04
8.000000000000000000e+02 2.700003729928496465e+00 4.909097690779084394e-04
8.500000000000000000e+02 2.733129787620188544e+00 4.969326886582161240e-04
9.000000000000000000e+02 3.339160671763821586e+00 6.071201221388766505e-04
9.500000000000000000e+02 2.774885048075887095e+00 5.045245541956158404e-04
1.000000000000000000e+03 2.942787693451001108e+00 5.350523079001819667e-04
1.050000000000000000e+03 2.762245159565511532e+00 5.022263926482748277e-04
1.100000000000000000e+03 2.700003729928496465e+00 4.909097690779084394e-04
1.150000000000000000e+03 2.733129787620188544e+00 4.969326886582161240e-04
1.200000000000000000e+03 3.339160671763821586e+00 6.071201221388766505e-04
1.250000000000000000e+03 2.774885048075887095e+00 5.045245541956158404e-04
1.300000000000000000e+03 3.014960079911904955e+00 5.481745599839827005e-04
1.350000000000000000e+03 3.289378487457440770e+00 5.980688159013528753e-04
1.400000000000000000e+03 3.014960079911904955e+00 5.481745599839827005e-04
1.450000000000000000e+03 3.289378487457440770e+00 5.980688159013528753e-04
1.500000000000000000e+03 3.226455773905826163e+00 5.866283225283320125e-04
1.550000000000000000e+03 2.912042750537782165e+00 5.294623182795967636e-04
1.600000000000000000e+03 3.484249938637414168e+00 6.334999888431662451e-04
1.650000000000000000e+03 3.047952621433797304e+00 5.541732038970540071e-04
1.700000000000000000e+03 2.690724582580043656e+00 4.892226513781897622e-04
1.750000000000000000e+03 3.078957369812687972e+00 5.598104308750342147e-04
1.800000000000000000e+03 2.912042750537782165e+00 5.294623182795967636e-04
1.850000000000000000e+03 3.484249938637414168e+00 6.334999888431662451e-04
1.900000000000000000e+03 3.047952621433797304e+00 5.541732038970540071e-04
1.950000000000000000e+03 2.690724582580043656e+00 4.892226513781897622e-04
2.000000000000000000e+03 3.078957369812687972e+00 5.598104308750342147e-04
2.050000000000000000e+03 2.601920049804729906e+00 4.730763726917690563e-04
2.100000000000000000e+03 3.163860405391342834e+00 5.752473464347895773e-04
2.150000000000000000e+03 2.879232883019624989e+00 5.234968878217499590e-04
2.200000000000000000e+03 2.867055461452518550e+00 5.212828111731852366e-04
2.250000000000000000e+03 2.601920049804729906e+00 4.730763726917690563e-04
2.300000000000000000e+03 3.163860405391342834e+00 5.752473464347895773e-04
