# Time (ps)	Slope
1.302585542348676313e+02 4.011729137902999009e-01
1.863959636595675420e+02 3.740133983242444615e-01
2.394694476593494983e+02 3.513216088504148016e-01
2.913693458576193507e+02 3.302357320938084650e-01
3.426733754698823304e+02 3.127559975010910098e-01
3.936283427035352815e+02 2.958776673494386000e-01
4.443596833880057488e+02 2.791452150160588230e-01
4.949385593538809758e+02 2.625178888128087418e-01
5.454085765327699846e+02 2.460459451715002466e-01
5.957980372476196180e+02 2.275029530529639465e-01
6.461261527300379157e+02 2.106406930872172512e-01
6.964064414341472684e+02 1.971536275619297229e-01
7.466487021889329299e+02 1.838195701245579350e-01
7.968602165625584348e+02 1.710224548213966078e-01
8.470465114600107199e+02 1.585537232563631882e-01
8.972118594156693234e+02 1.416914996131747873e-01
9.473596164366816765e+02 1.310218532897897692e-01
9.974924559398136807e+02 1.220274873379513375e-01
1.047612534337502893e+03 1.151533778314582923e-01
1.097721610541996370e+03 1.092902967451107737e-01
1.147821133716904797e+03 9.687485234481020557e-02
1.197912308720381361e+03 8.575875220455117520e-02
1.247996145599129932e+03 7.941059967311951684e-02
1.298073497498480720e+03 7.284927583029400522e-02
1.348145090037677164e+03 6.724411399665886080e-02
1.398211544314188586e+03 6.438760313384768452e-02
1.448273395095019168e+03 6.245629968168699836e-02
1.498331105331717026e+03 6.630916764833290344e-02
1.548385077838623374e+03 6.053720186843827844e-02
1.598435664761487260e+03 4.976378980317577860e-02
1.648483175309807848e+03 3.324949012192009862e-02
1.698527882113705118e+03 1.898951429696053850e-02
1.748570026482822641e+03 1.410800193098263842e-02
1.798609822782495712e+03 1.072895404282859372e-02
1.848647462095529590e+03 1.670666226153927694e-02
1.898683115302116221e+03 1.421124078435129050e-02
1.948716935683082738e+03 1.532235193144165786e-02
1.998749061130401742e+03 1.227364424037907104e-02
2.048779616032510603e+03 8.093983158803531863e-03
2.098808712888836908e+03 7.243163363765246386e-04
2.148836453698015248e+03 -4.949053083386393409e-03
2.198862931155858405e+03 -1.212234759340453071e-02
2.248888229692927780e+03 -9.781331988906474817e-03
2.298912426376154599e+03 -1.786524932378936266e-03
2.348935591694924369e+03 -6.678419386097975315e-03
2.398957790248499350e+03 -4.682227528308508663e-03
2.448979081348949421e+03 -3.447218174311463858e-03
2.498999519551493904e+03 1.321702768649112708e-02
2.549019155122212396e+03 3.840174407387786371e-02
2.599038034451603380e+03 5.260065587522408381e-02
2.649056200421223821e+03 3.053654238469289892e-02
2.699073692729402410e+03 1.466189342725475117e-02
2.749090548181372924e+03 -3.269242163414436391e-03
2.799106800948190084e+03 -3.683871961920192825e-03
2.849122482798336023e+03 7.196284702404759197e-03
2.899137623305321540e+03 -1.122360209817161586e-02
2.949152250034080680e+03 -2.689018256436422061e-02
2.999166388708707018e+03 -2.448535944791599764e-02
3.049180063363662157e+03 -2.433737567689676917e-02
3.099193296480283152e+03 -1.074350307360583817e-02
3.149206109110293255e+03 -1.682832781313420983e-02
3.199218520987690226e+03 -4.596718326230195273e-02
3.249230550630287325e+03 -2.956878603342319792e-02
3.299242215432002922e+03 -2.882539473338571051e-02
3.349253531746901444e+03 -2.160718070240466929e-02
3.399264514965731905e+03 -1.026003504078472524e-02
3.449275179585874412e+03 -2.893929276093274924e-02
3.499285539275250812e+03 -2.073477154962721086e-02
3.549295606930806571e+03 4.409502867805803602e-04
3.599305394732129571e+03 -5.948241013419341972e-03
3.649314914190676973e+03 -9.997103466355650517e-03
3.699324176194945721e+03 -5.344883556821043193e-03
3.749333191052084658e+03 7.737361076201689815e-03
3.799341968526185610e+03 4.316054803307993459e-02
3.849350517873573608e+03 6.654409462812518883e-02
3.899358847875424999e+03 6.538815344646370376e-02
3.949366966867844440e+03 3.763408732389610795e-02
3.999374882769762280e+03 2.321964282354852319e-03
4.049382603108628246e+03 1.657703104110005944e-03
4.099390135044411181e+03 -6.726387960306369485e-03
4.149397485391707050e+03 4.612902739571651117e-02
4.199404660640304428e+03 7.729793699319927047e-02
4.249411666974337095e+03 4.760460309309652582e-02
4.299418510290074664e+03 2.135367777115640756e-02
4.349425196212468109e+03 -1.268209998416863250e-02
4.399431730110577519e+03 1.776739872779139681e-02
4.449438117111985775e+03 4.216419561179930026e-02
4.499444362116198135e+03 8.886284395816138049e-02
4.549450469807205991e+03 7.869387234388963703e-02
4.599456444665199342e+03 1.319694338969736314e-01
4.649462290977523480e+03 1.156476960219426364e-01
4.699468012848972648e+03 4.010191361992895137e-02
4.749473614211377935e+03 6.906533238716847101e-02
4.799479098832654927e+03 -4.557261741895930751e-02
4.849484470325207440e+03 -7.911571600685587957e-02
