# r [Å]	g(r)	ρ(r) [particles/Å³]	n(r)
1.050000000000000044e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.866203996746862992e-01
1.150000000000000133e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.866203996746862992e-01
1.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.866203996746862992e-01
1.350000000000000089e+00 4.937048940927860237e-03 1.649986152894827157e-04 1.868093413252082391e-01
1.450000000000000178e+00 1.900462741639085795e+00 6.351440395500122793e-02 2.709033328102712357e-01
1.550000000000000044e+00 3.188849633749089474e+00 1.065729305563839768e-01 5.156839801522518085e-01
1.650000000000000133e+00 8.497867602020205136e-02 2.840029345512576440e-03 6.814177239057016555e-01
1.750000000000000000e+00 7.551205776249611534e-02 2.523650285332132166e-03 6.911319423846469245e-01
1.850000000000000089e+00 2.150138730193409120e-01 7.185869887194685016e-03 7.114406541719338062e-01
1.950000000000000178e+00 4.575238581435520646e-01 1.529067342836593589e-02 7.634254834162970127e-01
2.049999999999999822e+00 7.831073361523697152e-01 2.617183415319611350e-02 8.690646269288488934e-01
2.150000000000000355e+00 1.023209883641658768e+00 3.419617993895299884e-02 1.037491048118822423e+00
2.250000000000000000e+00 1.235665835031103832e+00 4.129656282125838268e-02 1.268169206093750834e+00
2.350000000000000533e+00 1.299292015258809663e+00 4.342298120587287369e-02 1.550200825264310911e+00
2.450000000000000178e+00 1.218133103393200356e+00 4.071061026597491694e-02 1.854413086866131932e+00
2.549999999999999822e+00 1.116153730352277718e+00 3.730240922499445527e-02 2.160356681609457485e+00
2.650000000000000355e+00 9.346226863822361119e-01 3.123555203044497616e-02 2.450583658633114226e+00
2.750000000000000000e+00 7.979845562480069043e-01 2.666903820049398507e-02 2.715128546366779805e+00
2.850000000000000533e+00 7.001575741271686137e-01 2.339961211600114638e-02 2.961271043227378996e+00
2.950000000000000178e+00 7.170638119632432028e-01 2.396462693884037626e-02 3.211728558151887292e+00
3.049999999999999822e+00 7.168272574302096967e-01 2.395672116945101252e-02 3.482791181927876956e+00
3.150000000000000355e+00 8.054637638250681242e-01 2.691899701363181796e-02 3.790642849634911826e+00
3.250000000000000000e+00 8.735474592310994435e-01 2.919438775822403784e-02 4.152220980596089461e+00
3.350000000000000533e+00 9.537795860943293347e-01 3.187578508536397653e-02 4.570738750686424545e+00
3.450000000000000178e+00 1.038247669752481173e+00 3.469875018182339010e-02 5.055001354905152233e+00
3.549999999999999822e+00 1.102248116841149539e+00 3.683767674987832585e-02 5.606192966197409255e+00
3.650000000000000355e+00 1.155129433887225554e+00 3.860499649729950966e-02 6.221041533301355564e+00
3.750000000000000000e+00 1.160708239866094171e+00 3.879144294992653563e-02 6.886945910337685994e+00
3.850000000000000533e+00 1.168747022744971886e+00 3.906010304616985146e-02 7.593473161103585944e+00
3.950000000000000178e+00 1.122153131121740977e+00 3.750291216336355815e-02 8.324903515584361813e+00
4.050000000000000711e+00 1.083514070261051510e+00 3.621157565558698332e-02 9.065753616632649781e+00
4.150000000000000355e+00 1.064242434305329610e+00 3.556750805870804305e-02 9.823833606982192990e+00
4.250000000000000000e+00 1.034462777963977675e+00 3.457225722791593819e-02 1.060107795748035819e+01
4.349999999999999645e+00 1.039306158282807591e+00 3.473412539156778278e-02 1.140640505508807223e+01
4.450000000000000178e+00 1.036207045926794912e+00 3.463055152517776486e-02 1.225025442489609873e+01
4.550000000000000711e+00 1.022213191504885099e+00 3.416286999521833678e-02 1.312551992755096641e+01
4.650000000000000355e+00 1.013553897691691796e+00 3.387347211691957294e-02 1.403010129898397906e+01
4.750000000000000000e+00 1.018048737638405088e+00 3.402369188910116249e-02 1.497263482634654963e+01
4.850000000000000533e+00 1.009831869685047456e+00 3.374908010166651623e-02 1.595376821410296309e+01
4.950000000000000178e+00 9.969240081339671988e-01 3.331769299010259311e-02 1.696550525343054261e+01
5.050000000000000711e+00 9.835054435143292251e-01 3.286923792961931462e-02 1.800513021301143723e+01
5.150000000000000355e+00 9.802828540535863944e-01 3.276153739737198284e-02 1.907777400449970884e+01
5.250000000000000000e+00 9.644131484061586601e-01 3.223116399248830699e-02 2.018191145636012962e+01
5.350000000000000533e+00 9.733803942991490210e-01 3.253085378147096279e-02 2.132512811338381908e+01
5.450000000000000178e+00 9.539489070261158998e-01 3.188144387457562956e-02 2.250515614930874619e+01
5.550000000000000711e+00 9.742633832302706187e-01 3.256036370788534945e-02 2.373031394328996768e+01
5.650000000000000355e+00 9.748298487518244348e-01 3.257929526553931393e-02 2.501393926873569740e+01
5.750000000000000000e+00 9.703259219731258378e-01 3.242877180694243855e-02 2.634106664533350894e+01
5.850000000000000533e+00 9.934878062731223869e-01 3.320285342588551875e-02 2.772868356525490796e+01
5.950000000000000178e+00 9.816782301339873618e-01 3.280817155551564446e-02 2.917241877084935453e+01
6.050000000000000711e+00 9.998968107244355918e-01 3.341704552171109732e-02 3.067073145651046318e+01
6.150000000000000355e+00 9.872679268795963026e-01 3.299498198294889550e-02 3.222336944987250718e+01
6.250000000000000000e+00 9.950342365701382308e-01 3.325453589059314263e-02 3.382367036720296483e+01
6.350000000000000533e+00 1.000218381140554724e+00 3.342779256392448828e-02 3.548676509895555853e+01
6.450000000000000178e+00 9.838532617030940619e-01 3.288086218536508121e-02 3.719316402189532056e+01
6.550000000000000711e+00 1.009708213533712096e+00 3.374494745198317741e-02 3.896230082809530870e+01
6.650000000000000355e+00 9.844427232471737454e-01 3.290056228145553374e-02 4.078611331368953330e+01
