# Time(ps) Density(g/cm³) Box_X(nm) Box_Y(nm) Box_Z(nm)
0.000000000000000000e+00	1.002664402898743479e+00	5.474780273437500000e+01	5.474780273437500000e+01	5.474780273437500000e+01
1.000000000000000000e+01	1.006408225648142363e+00	5.467983245849609375e+01	5.467983245849609375e+01	5.467983245849609375e+01
2.000000000000000000e+01	1.005899081342162882e+00	5.468905639648437500e+01	5.468905639648437500e+01	5.468905639648437500e+01
3.000000000000000000e+01	1.003275222043669590e+00	5.473669052124023438e+01	5.473669052124023438e+01	5.473669052124023438e+01
4.000000000000000000e+01	1.013115836716294682e+00	5.455889129638671875e+01	5.455889129638671875e+01	5.455889129638671875e+01
5.000000000000000000e+01	1.005632409316370435e+00	5.469388961791992188e+01	5.469388961791992188e+01	5.469388961791992188e+01
6.000000000000000000e+01	1.010376195092894447e+00	5.460815811157226562e+01	5.460815811157226562e+01	5.460815811157226562e+01
7.000000000000000000e+01	1.008088995893343220e+00	5.464942550659179688e+01	5.464942550659179688e+01	5.464942550659179688e+01
8.000000000000000000e+01	1.003548583304965325e+00	5.473171997070312500e+01	5.473171997070312500e+01	5.473171997070312500e+01
9.000000000000000000e+01	9.998895751918720487e-01	5.479840087890625000e+01	5.479840087890625000e+01	5.479840087890625000e+01
1.000000000000000000e+02	1.008646636296776311e+00	5.463935470581054688e+01	5.463935470581054688e+01	5.463935470581054688e+01
1.100000000000000000e+02	1.001413850737750133e+00	5.477058410644531250e+01	5.477058410644531250e+01	5.477058410644531250e+01
1.200000000000000000e+02	9.955819857717530530e-01	5.487731933593750000e+01	5.487731933593750000e+01	5.487731933593750000e+01
1.300000000000000000e+02	1.004436911338916660e+00	5.471557998657226562e+01	5.471557998657226562e+01	5.471557998657226562e+01
1.400000000000000000e+02	1.001871372801502069e+00	5.476224517822265625e+01	5.476224517822265625e+01	5.476224517822265625e+01
1.500000000000000000e+02	1.002659629326983826e+00	5.474789047241210938e+01	5.474789047241210938e+01	5.474789047241210938e+01
1.600000000000000000e+02	1.000725307309321854e+00	5.478314208984375000e+01	5.478314208984375000e+01	5.478314208984375000e+01
1.700000000000000000e+02	1.008326171158925311e+00	5.464514160156250000e+01	5.464514160156250000e+01	5.464514160156250000e+01
