# r [Å]	g(r)	ρ(r) [particles/Å³]	n(r)
1.050000000000000044e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
1.150000000000000133e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
1.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
1.350000000000000089e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
1.450000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
1.550000000000000044e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
1.650000000000000133e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
1.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
1.850000000000000089e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
1.950000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
2.049999999999999822e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
2.150000000000000355e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
2.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.732407993493725984e-01
2.350000000000000533e+00 3.398618925605047312e-04 1.135835239494451231e-05 3.732802115723815040e-01
2.450000000000000178e+00 3.492156857869544578e-02 1.167096078682694970e-03 3.777213056258114654e-01
2.549999999999999822e+00 5.385898828731581212e-01 1.799994003427771508e-02 4.556642848856873318e-01
2.650000000000000355e+00 2.029769086443292458e+00 6.783588589616035280e-02 8.285223986522456396e-01
2.750000000000000000e+00 3.058071651476006458e+00 1.022022657637931542e-01 1.613469519536287367e+00
2.850000000000000533e+00 2.516712369363831581e+00 8.410977103842590119e-02 2.528355492796678039e+00
2.950000000000000178e+00 1.729325612887834929e+00 5.779491654330313338e-02 3.273630413848192422e+00
3.049999999999999822e+00 1.088689809247812113e+00 3.638455141015885935e-02 3.802314936216598440e+00
3.150000000000000355e+00 8.535058180011573237e-01 2.852458620457616612e-02 4.192816471408666423e+00
3.250000000000000000e+00 7.441369100208590215e-01 2.486942325432180134e-02 4.535701511066896785e+00
