# Time(ps) Density(g/cm³) Box_X(nm) Box_Y(nm) Box_Z(nm)
0.000000000000000000e+00	9.998021392368807714e-01	5.479999923706054688e+01	5.479999923706054688e+01	5.479999923706054688e+01
1.000000000000000000e+01	1.007250173759801637e+00	5.466459274291992188e+01	5.466459274291992188e+01	5.466459274291992188e+01
2.000000000000000000e+01	9.988516793564705676e-01	5.481737518310546875e+01	5.481737518310546875e+01	5.481737518310546875e+01
3.000000000000000000e+01	1.004588888575237204e+00	5.471282196044921875e+01	5.471282196044921875e+01	5.471282196044921875e+01
4.000000000000000000e+01	9.983767481302954216e-01	5.482606506347656250e+01	5.482606506347656250e+01	5.482606506347656250e+01
5.000000000000000000e+01	1.004273678076775811e+00	5.471854400634765625e+01	5.471854400634765625e+01	5.471854400634765625e+01
6.000000000000000000e+01	1.000168599071461051e+00	5.479330444335937500e+01	5.479330444335937500e+01	5.479330444335937500e+01
7.000000000000000000e+01	1.006058902544929801e+00	5.468616104125976562e+01	5.468616104125976562e+01	5.468616104125976562e+01
8.000000000000000000e+01	1.005558753609510303e+00	5.469522476196289062e+01	5.469522476196289062e+01	5.469522476196289062e+01
9.000000000000000000e+01	1.004661731294159033e+00	5.471149826049804688e+01	5.471149826049804688e+01	5.471149826049804688e+01
1.000000000000000000e+02	1.008941783390181701e+00	5.463402557373046875e+01	5.463402557373046875e+01	5.463402557373046875e+01
1.100000000000000000e+02	9.992074870032782163e-01	5.481086730957031250e+01	5.481086730957031250e+01	5.481086730957031250e+01
1.200000000000000000e+02	9.936994173793094465e-01	5.491195297241210938e+01	5.491195297241210938e+01	5.491195297241210938e+01
1.300000000000000000e+02	1.008535445239473693e+00	5.464136123657226562e+01	5.464136123657226562e+01	5.464136123657226562e+01
1.400000000000000000e+02	1.004873802073265932e+00	5.470764923095703125e+01	5.470764923095703125e+01	5.470764923095703125e+01
1.500000000000000000e+02	1.006366963468362963e+00	5.468058013916015625e+01	5.468058013916015625e+01	5.468058013916015625e+01
1.600000000000000000e+02	1.007552891216847879e+00	5.465911865234375000e+01	5.465911865234375000e+01	5.465911865234375000e+01
1.700000000000000000e+02	1.011680833687960357e+00	5.458467483520507812e+01	5.458467483520507812e+01	5.458467483520507812e+01
1.800000000000000000e+02	1.002102960855278058e+00	5.475802612304687500e+01	5.475802612304687500e+01	5.475802612304687500e+01
1.900000000000000000e+02	9.984955569402825803e-01	5.482389068603515625e+01	5.482389068603515625e+01	5.482389068603515625e+01
2.000000000000000000e+02	9.946980630920012612e-01	5.489356994628906250e+01	5.489356994628906250e+01	5.489356994628906250e+01
2.100000000000000000e+02	1.004141808262219326e+00	5.472093963623046875e+01	5.472093963623046875e+01	5.472093963623046875e+01
2.200000000000000000e+02	1.008367304474707238e+00	5.464439773559570312e+01	5.464439773559570312e+01	5.464439773559570312e+01
2.300000000000000000e+02	1.007088721762053218e+00	5.466751480102539062e+01	5.466751480102539062e+01	5.466751480102539062e+01
2.400000000000000000e+02	1.006158876675581793e+00	5.468434906005859375e+01	5.468434906005859375e+01	5.468434906005859375e+01
2.500000000000000000e+02	9.999134067522522651e-01	5.479796600341796875e+01	5.479796600341796875e+01	5.479796600341796875e+01
2.600000000000000000e+02	9.973409498846180776e-01	5.484503936767578125e+01	5.484503936767578125e+01	5.484503936767578125e+01
2.700000000000000000e+02	1.007882222261683003e+00	5.465316390991210938e+01	5.465316390991210938e+01	5.465316390991210938e+01
2.800000000000000000e+02	1.009166497002516261e+00	5.462997055053710938e+01	5.462997055053710938e+01	5.462997055053710938e+01
2.900000000000000000e+02	1.003872047533845180e+00	5.472584152221679688e+01	5.472584152221679688e+01	5.472584152221679688e+01
3.000000000000000000e+02	1.000320047520689037e+00	5.479053878784179688e+01	5.479053878784179688e+01	5.479053878784179688e+01
3.100000000000000000e+02	1.007625585910661759e+00	5.465780258178710938e+01	5.465780258178710938e+01	5.465780258178710938e+01
