# Time (ps)	Total H-bonds	H-bonds per water
0.000000000000000000e+00 2.880971793357550492e+00 5.238130533377364974e-04
5.000000000000000000e+01 2.727637863802986118e+00 4.959341570550884022e-04
1.000000000000000000e+02 2.774886250960711731e+00 5.045247729019476397e-04
1.500000000000000000e+02 3.067571098916137995e+00 5.577401998029342172e-04
2.000000000000000000e+02 3.342974276528498212e+00 6.078135048233633585e-04
2.500000000000000000e+02 2.880971793357550492e+00 5.238130533377364974e-04
3.000000000000000000e+02 2.727637863802986118e+00 4.959341570550884022e-04
3.500000000000000000e+02 2.774886250960711731e+00 5.045247729019476397e-04
4.000000000000000000e+02 3.067571098916137995e+00 5.577401998029342172e-04
4.500000000000000000e+02 3.342974276528498212e+00 6.078135048233633585e-04
5.000000000000000000e+02 3.489985665125760583e+00 6.345428482046837739e-04
5.500000000000000000e+02 3.433657882838138775e+00 6.243014332432979653e-04
6.000000000000000000e+02 2.949576467078728559e+00 5.362866303779506528e-04
6.500000000000000000e+02 3.034797470901905214e+00 5.517813583458009439e-04
7.000000000000000000e+02 3.041379760032229651e+00 5.529781381876780737e-04
7.500000000000000000e+02 3.489985665125760583e+00 6.345428482046837739e-04
8.000000000000000000e+02 3.433657882838138775e+00 6.243014332432979653e-04
8.500000000000000000e+02 2.703702962310798874e+00 4.915823567837816202e-04
9.000000000000000000e+02 2.949576467078728559e+00 5.362866303779506528e-04
9.500000000000000000e+02 3.034797470901905214e+00 5.517813583458009439e-04
1.000000000000000000e+03 3.041379760032229651e+00 5.529781381876780737e-04
1.050000000000000000e+03 3.374908496888058274e+00 6.136197267069197188e-04
1.100000000000000000e+03 2.941084051030150359e+00 5.347425547327545750e-04
1.150000000000000000e+03 2.846050095203765284e+00 5.174636536734118558e-04
1.200000000000000000e+03 3.238827054142524808e+00 5.888776462077317678e-04
1.250000000000000000e+03 2.683281004338363473e+00 4.878692735160660657e-04
1.300000000000000000e+03 2.817800107203450644e+00 5.123272922188091844e-04
1.350000000000000000e+03 3.419066503407396596e+00 6.216484551649811537e-04
1.400000000000000000e+03 3.374908496888058274e+00 6.136197267069197188e-04
1.450000000000000000e+03 2.941084051030150359e+00 5.347425547327545750e-04
1.500000000000000000e+03 2.846050095203765284e+00 5.174636536734118558e-04
1.550000000000000000e+03 3.238827054142524808e+00 5.888776462077317678e-04
1.600000000000000000e+03 2.683281004338363473e+00 4.878692735160660657e-04
1.650000000000000000e+03 2.817800107203450644e+00 5.123272922188091844e-04
1.700000000000000000e+03 3.419066503407396596e+00 6.216484551649811537e-04
1.750000000000000000e+03 2.745906654810921221e+00 4.992557554201674901e-04
1.800000000000000000e+03 2.976575738672680327e+00 5.411955888495782133e-04
1.850000000000000000e+03 3.469514201339386261e+00 6.308207638798884152e-04
1.900000000000000000e+03 2.971552980138309152e+00 5.402823600251470664e-04
1.950000000000000000e+03 2.967347315642053562e+00 5.395176937531006396e-04
2.000000000000000000e+03 3.376389281116359609e+00 6.138889602029744654e-04
2.050000000000000000e+03 2.976575738672680327e+00 5.411955888495782133e-04
2.100000000000000000e+03 3.469514201339386261e+00 6.308207638798884152e-04
2.150000000000000000e+03 2.971552980138309152e+00 5.402823600251470664e-04
2.200000000000000000e+03 2.967347315642053562e+00 5.395176937531006396e-04
2.250000000000000000e+03 2.727640031534948495e+00 4.959345511881724277e-04
2.300000000000000000e+03 2.870540603605276520e+00 5.219164733827775116e-04
2.350000000000000000e+03 3.047949054483659381e+00 5.541725553606653525e-04
2.400000000000000000e+03 2.767667275384394276e+00 5.032122318880717388e-04
2.450000000000000000e+03 2.727640031534948495e+00 4.959345511881724277e-04
2.500000000000000000e+03 2.870540603605276520e+00 5.219164733827775116e-04
2.550000000000000000e+03 3.047949054483659381e+00 5.541725553606653525e-04
2.600000000000000000e+03 2.767667275384394276e+00 5.032122318880717388e-04
2.650000000000000000e+03 2.794140842067744934e+00 5.080256076486808865e-04
2.700000000000000000e+03 2.736786353049237785e+00 4.975975187362251034e-04
2.750000000000000000e+03 2.580697798142281840e+00 4.692177814804149023e-04
2.800000000000000000e+03 2.791057881168343080e+00 5.074650693033351187e-04
2.850000000000000000e+03 2.794140842067744934e+00 5.080256076486808865e-04
2.900000000000000000e+03 2.736786353049237785e+00 4.975975187362251034e-04
2.950000000000000000e+03 2.580697798142281840e+00 4.692177814804149023e-04
3.000000000000000000e+03 2.791057881168343080e+00 5.074650693033351187e-04
3.050000000000000000e+03 3.099998827903867937e+00 5.636361505279759978e-04
3.100000000000000000e+03 3.280244486466254994e+00 5.964080884484100403e-04
3.150000000000000000e+03 2.839014313057866445e+00 5.161844205559757218e-04
3.200000000000000000e+03 2.707396823260072694e+00 4.922539678654677892e-04
